,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Fraxinus excelsior,Ash,Juvenile,,-0.16248,51.551726    
,Quercus rubra,Oak - Red,Mature,518.3,-0.149867,51.558771  
,Robinia pseudoacacia,False Acacia,Middle aged,190.4,-0.147287,51.557281  
,Sorbus aucuparia 'Asplenifolia,Rowan - Cut leaved,Juvenile,3.5,-0.138851,51.553992
,Acer pseudoplatanus,Sycamore,Mature,591.5,-0.198817,51.548179    
,Tilia europaea,Lime - Common,Mature,378.8,-0.173665,51.542761  
,Prunus subhirtella 'Autumnalis,Cherry - Rosebud,Middle aged,3.5,-0.1584,51.555581
,Platanus x hispanica,London plane,Mature,787.8,-0.168094,51.545811  
,Sorbus aria,Whitebeam,Middle aged,88.5,-0.130773,51.546037   
,Platanus x hispanica,London plane,Middle aged,113.8,-0.177085,51.555841 
,Malus 'Rudolph',Apple - Crab,Juvenile,27.3,-0.136988,51.547691  
,Betula pendula,Birch - Silver,Middle aged,27.3,-0.14258,51.529344 
,Malus 'Rudolph',Apple - Crab,Middle aged,12.6,-0.139866,51.556448 
,Prunus x hillieri 'Spire',Cherry,Middle aged,12.6,-0.169464,51.551122 
,Malus unidentified species,Apple,Middle aged,27.3,-0.1475,51.564534  
,Malus unidentified species,Apple,Middle aged,23.7,-0.156402,51.540989  
,Ficus carica,Fig,Middle aged,92.7,-0.152828,51.54869   
,Prunus avium,"Cherry - Wild Gean",Mature,242.2,-0.175141,51.558453 
